symbol,group,top_tissue,top_tissue_tpm,brain_mean,nonbrain_mean,log2fc_brain_vs_nonbrain,tau
TBC1D3D,TOL,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,3.24813,0.0045936192201835,0.0910490196862838,-0.0864554004661002,0.9882866334434172
RLN1,TOL,Prostate,2.76895,0.1073501947588454,0.1946936699673176,-0.0873434752084721,0.9538087582636126
SPDYE17,TOL,Testis,0.581873,0.0134912986571272,0.1010809288597769,-0.0875896302026496,0.9057750099902552
GAGE2A,TOL,Testis,28.4892,0.0,0.0887657232646543,-0.0887657232646543,1.0
ZC3H11B,TOL,Testis,5.51854,0.0670144294797533,0.1568322611316953,-0.089817831651942,0.9866762415367378
PAGE2,TOL,Testis,33.2649,0.0343007731081175,0.1247072836158107,-0.0904065105076932,0.9992641100388052
GSTT4,TOL,Testis,29.8802,0.0058467152333401,0.0972234460770149,-0.0913767308436747,0.9998330160131
B3GNTL1,TOL,Whole_Blood,6.24196,1.5422575948413215,1.6344609619632646,-0.0922033671219431,0.6444319345540432
CTAGE6,TOL,Testis,5.28394,0.0,0.0931486539158392,-0.0931486539158392,0.99490789861184
SPATA31D1,TOL,Testis,28.7053,0.0,0.0931725904586014,-0.0931725904586014,0.9999093541985148
CBWD5,TOL,Brain_Cerebellar_Hemisphere,4.83694,1.5178194404732597,1.6141941732709837,-0.096374732797724,0.5650836605775614
ALG1L2,TOL,Cells_EBV-transformed_lymphocytes,0.591302,0.0378830211834713,0.1347362332932818,-0.0968532121098105,0.8630188821359916
CST1,TOL,Nerve_Tibial,5.75041,0.0,0.0973397678613269,-0.0973397678613269,0.9925574690365362
GOLGA8S,TOL,Testis,8.23294,0.0053907240557624,0.1032593519666535,-0.0978686279108911,0.9966696378642634
FAM13B,TOL,Artery_Tibial,38.8365,3.827864875575093,3.9295176600688326,-0.1016527844937393,0.5780976966006167
POTEE,TOL,Testis,1.88736,0.0312363375660366,0.1382830173201182,-0.1070466797540815,0.9620195492210868
ZNF705E,TOL,Nerve_Tibial,0.470002,0.109227551311867,0.2164548746728104,-0.1072273233609434,0.6915616808743971
FCGR3A,TOL,Spleen,277.686,2.922509316816428,3.0313991994331646,-0.108889882616737,0.952041491673028
UGT2B11,TOL,Liver,1.10037,0.0,0.1092181023269183,-0.1092181023269183,0.943526797431366
SPDYE2,TOL,Testis,0.682874,0.0538101781413723,0.163491270927199,-0.1096810927858266,0.8556881125641106
GOLGA8T,TOL,Testis,2.22703,0.1265611239826354,0.2385951253805923,-0.1120340013979568,0.9329426059109176
KIR2DL3,TOL,Whole_Blood,3.74752,0.0,0.1127131925698452,-0.1127131925698452,0.9858688715291274
TUBB8B,TOL,Testis,7.07057,0.0714268935305357,0.1849719618959473,-0.1135450683654116,0.985978112258846
PSG4,TOL,Cells_Cultured_fibroblasts,2.6516,0.0060781265176469,0.1200067611689698,-0.1139286346513229,0.9742216583397688
SBDS,TOL,Artery_Tibial,592.423,7.132119638340133,7.247542159221282,-0.1154225208811485,0.7196512949437779
POTEJ,TOL,Testis,0.680785,0.040065295427956,0.1594356429001064,-0.1193703474721504,0.8595781822981131
SULT1A3,TOL,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,1.81961,0.6225897397215019,0.7447964330305784,-0.1222066933090765,0.6314249149830122
GGTLC2,TOL,Testis,15.1018,0.0,0.1289511374232713,-0.1289511374232713,0.9973937049710194
KCNJ18,TOL,Skin_Not_Sun_Exposed_Suprapubic,10.1278,0.0178581510549247,0.1472272699722134,-0.1293691189172887,0.9853522998467644
EIF3CL,TOL,Colon_Transverse_Mixed_Cell,0.540419,0.1998948471425798,0.3320103910227731,-0.1321155438801932,0.5606100606348203
H4C14,TOL,Prostate,0.722516,0.0652345797588526,0.1974080934371748,-0.1321735136783222,0.8298292397470431
NPY4R,TOL,Colon_Transverse_Muscularis,1.13871,0.0351376888245929,0.1683285625533792,-0.1331908737287862,0.9003477816020407
CTAGE9,TOL,Testis,8.82382,0.0035106670715918,0.1373617799498847,-0.1338511128782928,0.9946826613863416
TPTE,TOL,Testis,136.666,0.0,0.1349232091047997,-0.1349232091047997,0.9999754819517503
NOTCH2NLA,TOL,Testis,1.45022,0.0535472183087997,0.1888548632502838,-0.135307644941484,0.9244926194419908
